,ele_1,ele_2,EMD,mend_1,mend_2,mend_diff
2034,Cd,Na,0.6274509803921569,"(75.0, 'Cd')","(11.0, 'Na')",64.0
2035,Na,In,0.6764705882352942,"(11.0, 'Na')","(79.0, 'In')",68.0
2036,In,Na,0.6764705882352942,"(79.0, 'In')","(11.0, 'Na')",68.0
2037,Na,Sn,0.7058823529411765,"(11.0, 'Na')","(83.0, 'Sn')",72.0
2038,Sn,Na,0.7058823529411765,"(83.0, 'Sn')","(11.0, 'Na')",72.0
2039,Na,Sb,0.7843137254901961,"(11.0, 'Na')","(88.0, 'Sb')",77.0
2040,Sb,Na,0.7843137254901961,"(88.0, 'Sb')","(11.0, 'Na')",77.0
2041,Na,Te,0.8137254901960784,"(11.0, 'Na')","(92.0, 'Te')",81.0
2042,Te,Na,0.8137254901960784,"(92.0, 'Te')","(11.0, 'Na')",81.0
2043,Na,I,0.8627450980392157,"(11.0, 'Na')","(97.0, 'I')",86.0
2044,I,Na,0.8627450980392157,"(97.0, 'I')","(11.0, 'Na')",86.0
2045,Na,Xe,0.058823529411764705,"(11.0, 'Na')","(5.0, 'Xe')",6.0
2046,Xe,Na,0.058823529411764705,"(5.0, 'Xe')","(11.0, 'Na')",6.0
2047,Na,Cs,0.029411764705882353,"(11.0, 'Na')","(8.0, 'Cs')",3.0
2048,Cs,Na,0.029411764705882353,"(8.0, 'Cs')","(11.0, 'Na')",3.0
2049,Na,Ba,0.029411764705882353,"(11.0, 'Na')","(14.0, 'Ba')",3.0
2050,Ba,Na,0.029411764705882353,"(14.0, 'Ba')","(11.0, 'Na')",3.0
2051,Na,La,0.20588235294117646,"(11.0, 'Na')","(33.0, 'La')",22.0
2052,La,Na,0.20588235294117646,"(33.0, 'La')","(11.0, 'Na')",22.0
2053,Na,Ce,0.19607843137254902,"(11.0, 'Na')","(32.0, 'Ce')",21.0
2054,Ce,Na,0.19607843137254902,"(32.0, 'Ce')","(11.0, 'Na')",21.0
2055,Na,Pr,0.18627450980392157,"(11.0, 'Na')","(31.0, 'Pr')",20.0
2056,Pr,Na,0.18627450980392157,"(31.0, 'Pr')","(11.0, 'Na')",20.0
2057,Na,Nd,0.17647058823529413,"(11.0, 'Na')","(30.0, 'Nd')",19.0
2058,Nd,Na,0.17647058823529413,"(30.0, 'Nd')","(11.0, 'Na')",19.0
2059,Na,Pm,0.16666666666666666,"(11.0, 'Na')","(29.0, 'Pm')",18.0
2060,Pm,Na,0.16666666666666666,"(29.0, 'Pm')","(11.0, 'Na')",18.0
2061,Na,Sm,0.1568627450980392,"(11.0, 'Na')","(28.0, 'Sm')",17.0
2062,Sm,Na,0.1568627450980392,"(28.0, 'Sm')","(11.0, 'Na')",17.0
2063,Na,Eu,0.058823529411764705,"(11.0, 'Na')","(18.0, 'Eu')",7.0
2064,Eu,Na,0.058823529411764705,"(18.0, 'Eu')","(11.0, 'Na')",7.0
2065,Na,Gd,0.14705882352941177,"(11.0, 'Na')","(27.0, 'Gd')",16.0
2066,Gd,Na,0.14705882352941177,"(27.0, 'Gd')","(11.0, 'Na')",16.0
2067,Na,Tb,0.13725490196078433,"(11.0, 'Na')","(26.0, 'Tb')",15.0
2068,Tb,Na,0.13725490196078433,"(26.0, 'Tb')","(11.0, 'Na')",15.0
2069,Na,Dy,0.12745098039215685,"(11.0, 'Na')","(24.0, 'Dy')",13.0
2070,Dy,Na,0.12745098039215685,"(24.0, 'Dy')","(11.0, 'Na')",13.0
2071,Na,Ho,0.11764705882352941,"(11.0, 'Na')","(23.0, 'Ho')",12.0
2072,Ho,Na,0.11764705882352941,"(23.0, 'Ho')","(11.0, 'Na')",12.0
2073,Na,Er,0.10784313725490197,"(11.0, 'Na')","(22.0, 'Er')",11.0
2074,Er,Na,0.10784313725490197,"(22.0, 'Er')","(11.0, 'Na')",11.0
