,ele_1,ele_2,mend_1,mend_2,euclid_dist,reciprocal_euclid_dist,pearson_corr,mend_diff
9927,Ir,Md,"(66.0, 'Ir')","(36.0, 'Md')",6.3600058558453085,0.15723255963371907,0.23004743289069304,30.0
9928,Md,Ir,"(36.0, 'Md')","(66.0, 'Ir')",6.3600058558453085,0.15723255963371907,0.23004743289069304,30.0
9929,Ir,No,"(66.0, 'Ir')","(35.0, 'No')",4.9739274313956825,0.20104836948121704,0.21417111190578755,31.0
9930,No,Ir,"(35.0, 'No')","(66.0, 'Ir')",4.9739274313956825,0.20104836948121704,0.21417111190578755,31.0
9931,Ir,Lr,"(66.0, 'Ir')","(34.0, 'Lr')",6.257904947786612,0.15979788896501132,0.20063260472818706,32.0
9932,Lr,Ir,"(34.0, 'Lr')","(66.0, 'Ir')",6.257904947786612,0.15979788896501132,0.20063260472818706,32.0
9933,Pt,Pt,"(68.0, 'Pt')","(68.0, 'Pt')",0.0,inf,1.0,0.0
9934,Pt,Au,"(68.0, 'Pt')","(70.0, 'Au')",2.833221779041071,0.3529550730541323,0.7142173280946978,2.0
9935,Au,Pt,"(70.0, 'Au')","(68.0, 'Pt')",2.833221779041071,0.3529550730541323,0.7142173280946978,2.0
9936,Pt,Hg,"(68.0, 'Pt')","(74.0, 'Hg')",4.625291968150927,0.21620256772671895,0.34669621621667257,6.0
9937,Hg,Pt,"(74.0, 'Hg')","(68.0, 'Pt')",4.625291968150927,0.21620256772671895,0.34669621621667257,6.0
9938,Pt,Tl,"(68.0, 'Pt')","(78.0, 'Tl')",4.968744176468128,0.20125809751606447,0.329913874218894,10.0
9939,Tl,Pt,"(78.0, 'Tl')","(68.0, 'Pt')",4.968744176468128,0.20125809751606447,0.329913874218894,10.0
9940,Pt,Pb,"(68.0, 'Pt')","(82.0, 'Pb')",4.298430378718101,0.23264306081379987,0.3987396036476038,14.0
9941,Pb,Pt,"(82.0, 'Pb')","(68.0, 'Pt')",4.298430378718101,0.23264306081379987,0.3987396036476038,14.0
9942,Pt,Bi,"(68.0, 'Pt')","(87.0, 'Bi')",4.365731793891892,0.22905667301850813,0.38313607718896153,19.0
9943,Bi,Pt,"(87.0, 'Bi')","(68.0, 'Pt')",4.365731793891892,0.22905667301850813,0.38313607718896153,19.0
9944,Pt,Po,"(68.0, 'Pt')","(91.0, 'Po')",5.711760279307385,0.17507737564246326,0.1885997648046966,23.0
9945,Po,Pt,"(91.0, 'Po')","(68.0, 'Pt')",5.711760279307385,0.17507737564246326,0.1885997648046966,23.0
9946,Pt,At,"(68.0, 'Pt')","(96.0, 'At')",4.036943421132732,0.2477121662803509,0.27791942154080973,28.0
9947,At,Pt,"(96.0, 'At')","(68.0, 'Pt')",4.036943421132732,0.2477121662803509,0.27791942154080973,28.0
9948,Pt,Rn,"(68.0, 'Pt')","(6.0, 'Rn')",5.820817673813688,0.17179716940778514,0.2048284094848541,62.0
9949,Rn,Pt,"(6.0, 'Rn')","(68.0, 'Pt')",5.820817673813688,0.17179716940778514,0.2048284094848541,62.0
9950,Pt,Fr,"(68.0, 'Pt')","(7.0, 'Fr')",6.162377377612579,0.16227503424780826,0.0997339660278315,61.0
9951,Fr,Pt,"(7.0, 'Fr')","(68.0, 'Pt')",6.162377377612579,0.16227503424780826,0.0997339660278315,61.0
9952,Pt,Ra,"(68.0, 'Pt')","(13.0, 'Ra')",5.590405427600641,0.17887790303416193,0.20134673522736155,55.0
9953,Ra,Pt,"(13.0, 'Ra')","(68.0, 'Pt')",5.590405427600641,0.17887790303416193,0.20134673522736155,55.0
9954,Pt,Ac,"(68.0, 'Pt')","(48.0, 'Ac')",4.907951430291844,0.20375099758078424,0.2782162282769326,20.0
9955,Ac,Pt,"(48.0, 'Ac')","(68.0, 'Pt')",4.907951430291844,0.20375099758078424,0.2782162282769326,20.0
9956,Pt,Th,"(68.0, 'Pt')","(47.0, 'Th')",4.705233290202056,0.21252931328237226,0.3598681948025137,21.0
9957,Th,Pt,"(47.0, 'Th')","(68.0, 'Pt')",4.705233290202056,0.21252931328237226,0.3598681948025137,21.0
