,ele_1,ele_2,mend_1,mend_2,euclid_dist,reciprocal_euclid_dist,pearson_corr,mend_diff
4923,Nd,Ge,"(30.0, 'Nd')","(84.0, 'Ge')",1.5542879128974292,0.6433814428472572,-0.4997672442149613,54.0
4924,Ge,Pm,"(84.0, 'Ge')","(29.0, 'Pm')",1.54035340080751,0.6492016698737856,-0.6008174283538447,55.0
4925,Pm,Ge,"(29.0, 'Pm')","(84.0, 'Ge')",1.54035340080751,0.6492016698737856,-0.6008174283538447,55.0
4926,Ge,Sm,"(84.0, 'Ge')","(28.0, 'Sm')",1.5375635986963876,0.6503796011090812,-0.5506899222818722,56.0
4927,Sm,Ge,"(28.0, 'Sm')","(84.0, 'Ge')",1.5375635986963876,0.6503796011090812,-0.5506899222818722,56.0
4928,Ge,Eu,"(84.0, 'Ge')","(18.0, 'Eu')",1.426555502649734,0.7009891996088236,-0.4373694460753271,66.0
4929,Eu,Ge,"(18.0, 'Eu')","(84.0, 'Ge')",1.426555502649734,0.7009891996088236,-0.4373694460753271,66.0
4930,Ge,Gd,"(84.0, 'Ge')","(27.0, 'Gd')",1.4620918898736408,0.683951540204784,-0.6029250118783112,57.0
4931,Gd,Ge,"(27.0, 'Gd')","(84.0, 'Ge')",1.4620918898736408,0.683951540204784,-0.6029250118783112,57.0
4932,Ge,Tb,"(84.0, 'Ge')","(26.0, 'Tb')",1.5798045322326817,0.632989701951757,-0.6788220249123791,58.0
4933,Tb,Ge,"(26.0, 'Tb')","(84.0, 'Ge')",1.5798045322326817,0.632989701951757,-0.6788220249123791,58.0
4934,Ge,Dy,"(84.0, 'Ge')","(24.0, 'Dy')",1.5693955442348009,0.6371879948770822,-0.6395222686964395,60.0
4935,Dy,Ge,"(24.0, 'Dy')","(84.0, 'Ge')",1.5693955442348009,0.6371879948770822,-0.6395222686964395,60.0
4936,Ge,Ho,"(84.0, 'Ge')","(23.0, 'Ho')",1.5565026810479854,0.6424659669244547,-0.6193226163244713,61.0
4937,Ho,Ge,"(23.0, 'Ho')","(84.0, 'Ge')",1.5565026810479854,0.6424659669244547,-0.6193226163244713,61.0
4938,Ge,Er,"(84.0, 'Ge')","(22.0, 'Er')",1.5765626249892117,0.6342913273152362,-0.6965705618004624,62.0
4939,Er,Ge,"(22.0, 'Er')","(84.0, 'Ge')",1.5765626249892117,0.6342913273152362,-0.6965705618004624,62.0
4940,Ge,Tm,"(84.0, 'Ge')","(21.0, 'Tm')",1.5829561803813714,0.6317294264956067,-0.6679108411261656,63.0
4941,Tm,Ge,"(21.0, 'Tm')","(84.0, 'Ge')",1.5829561803813714,0.6317294264956067,-0.6679108411261656,63.0
4942,Ge,Yb,"(84.0, 'Ge')","(17.0, 'Yb')",1.5579454542363675,0.6418709957276094,-0.783326281889258,67.0
4943,Yb,Ge,"(17.0, 'Yb')","(84.0, 'Ge')",1.5579454542363675,0.6418709957276094,-0.783326281889258,67.0
4944,Ge,Lu,"(84.0, 'Ge')","(20.0, 'Lu')",1.6160354585868133,0.6187983033951975,-0.6439400939106722,64.0
4945,Lu,Ge,"(20.0, 'Lu')","(84.0, 'Ge')",1.6160354585868133,0.6187983033951975,-0.6439400939106722,64.0
4946,Ge,Hf,"(84.0, 'Ge')","(50.0, 'Hf')",1.6659176260182236,0.6002697758772984,-0.42837603607013663,34.0
4947,Hf,Ge,"(50.0, 'Hf')","(84.0, 'Ge')",1.6659176260182236,0.6002697758772984,-0.42837603607013663,34.0
4948,Ge,Ta,"(84.0, 'Ge')","(52.0, 'Ta')",1.3289683859972385,0.7524633471620279,-0.09016470951077674,32.0
4949,Ta,Ge,"(52.0, 'Ta')","(84.0, 'Ge')",1.3289683859972385,0.7524633471620279,-0.09016470951077674,32.0
4950,Ge,W,"(84.0, 'Ge')","(55.0, 'W')",1.2191556636934402,0.8202398018399827,0.3114315174199169,29.0
4951,W,Ge,"(55.0, 'W')","(84.0, 'Ge')",1.2191556636934402,0.8202398018399827,0.3114315174199169,29.0
4952,Ge,Re,"(84.0, 'Ge')","(58.0, 'Re')",1.646434244751567,0.6073731782412553,0.09054467762731144,26.0
4953,Re,Ge,"(58.0, 'Re')","(84.0, 'Ge')",1.646434244751567,0.6073731782412553,0.09054467762731144,26.0
4954,Ge,Os,"(84.0, 'Ge')","(63.0, 'Os')",1.8859936802574717,0.530224470245034,0.16848468901133187,21.0
4955,Os,Ge,"(63.0, 'Os')","(84.0, 'Ge')",1.8859936802574717,0.530224470245034,0.16848468901133187,21.0
4956,Ge,Ir,"(84.0, 'Ge')","(66.0, 'Ir')",1.0095139975542653,0.9905756655407307,0.7702100052720755,18.0
4957,Ir,Ge,"(66.0, 'Ir')","(84.0, 'Ge')",1.0095139975542653,0.9905756655407307,0.7702100052720755,18.0
4958,Ge,Pt,"(84.0, 'Ge')","(68.0, 'Pt')",1.1459230869770858,0.8726589169592289,0.4610137245862789,16.0
4959,Pt,Ge,"(68.0, 'Pt')","(84.0, 'Ge')",1.1459230869770858,0.8726589169592289,0.4610137245862789,16.0
4960,Ge,Au,"(84.0, 'Ge')","(70.0, 'Au')",1.2134066757129016,0.8241260082177142,0.373716955644287,14.0
4961,Au,Ge,"(70.0, 'Au')","(84.0, 'Ge')",1.2134066757129016,0.8241260082177142,0.373716955644287,14.0
4962,Ge,Hg,"(84.0, 'Ge')","(74.0, 'Hg')",1.1090824042705356,0.9016462583388642,0.4033465897385127,10.0
4963,Hg,Ge,"(74.0, 'Hg')","(84.0, 'Ge')",1.1090824042705356,0.9016462583388642,0.4033465897385127,10.0
4964,Ge,Tl,"(84.0, 'Ge')","(78.0, 'Tl')",0.9493681731879938,1.0533321299807046,0.3935363653929075,6.0
4965,Tl,Ge,"(78.0, 'Tl')","(84.0, 'Ge')",0.9493681731879938,1.0533321299807046,0.3935363653929075,6.0
4966,Ge,Pb,"(84.0, 'Ge')","(82.0, 'Pb')",0.5997892857817708,1.6672521895695267,0.4709901738124328,2.0
4967,Pb,Ge,"(82.0, 'Pb')","(84.0, 'Ge')",0.5997892857817708,1.6672521895695267,0.4709901738124328,2.0
4968,Ge,Bi,"(84.0, 'Ge')","(87.0, 'Bi')",0.8822468227134839,1.1334696529984074,0.4429938573299088,3.0
4969,Bi,Ge,"(87.0, 'Bi')","(84.0, 'Ge')",0.8822468227134839,1.1334696529984074,0.4429938573299088,3.0
4970,Ge,Po,"(84.0, 'Ge')","(91.0, 'Po')",0.5302567349199991,1.8858789226899153,0.015454905136849557,7.0
4971,Po,Ge,"(91.0, 'Po')","(84.0, 'Ge')",0.5302567349199991,1.8858789226899153,0.015454905136849557,7.0
4972,Ge,At,"(84.0, 'Ge')","(96.0, 'At')",0.49420870493331426,2.023436637229881,0.13434156050469453,12.0
4973,At,Ge,"(96.0, 'At')","(84.0, 'Ge')",0.49420870493331426,2.023436637229881,0.13434156050469453,12.0
4974,Ge,Rn,"(84.0, 'Ge')","(6.0, 'Rn')",0.5688274472641198,1.7580023692768059,-0.3465627382460034,78.0
4975,Rn,Ge,"(6.0, 'Rn')","(84.0, 'Ge')",0.5688274472641198,1.7580023692768059,-0.3465627382460034,78.0
4976,Ge,Fr,"(84.0, 'Ge')","(7.0, 'Fr')",0.5996324993298556,1.667688127507418,-0.5542709747304967,77.0
4977,Fr,Ge,"(7.0, 'Fr')","(84.0, 'Ge')",0.5996324993298556,1.667688127507418,-0.5542709747304967,77.0
4978,Ge,Ra,"(84.0, 'Ge')","(13.0, 'Ra')",0.5313080165500534,1.8821473963319957,0.22949048944884404,71.0
4979,Ra,Ge,"(13.0, 'Ra')","(84.0, 'Ge')",0.5313080165500534,1.8821473963319957,0.22949048944884404,71.0
4980,Ge,Ac,"(84.0, 'Ge')","(48.0, 'Ac')",2.153556377281169,0.46434818728195276,-0.6119066272805654,36.0
4981,Ac,Ge,"(48.0, 'Ac')","(84.0, 'Ge')",2.153556377281169,0.46434818728195276,-0.6119066272805654,36.0
4982,Ge,Th,"(84.0, 'Ge')","(47.0, 'Th')",1.9041494355132815,0.5251688661349421,-0.555159430446495,37.0
4983,Th,Ge,"(47.0, 'Th')","(84.0, 'Ge')",1.9041494355132815,0.5251688661349421,-0.555159430446495,37.0
4984,Ge,Pa,"(84.0, 'Ge')","(46.0, 'Pa')",2.0096362030344967,0.49760250063669575,-0.5143345915910287,38.0
4985,Pa,Ge,"(46.0, 'Pa')","(84.0, 'Ge')",2.0096362030344967,0.49760250063669575,-0.5143345915910287,38.0
4986,Ge,U,"(84.0, 'Ge')","(45.0, 'U')",1.4522855055550443,0.688569841243312,-0.23093388895161054,39.0
4987,U,Ge,"(45.0, 'U')","(84.0, 'Ge')",1.4522855055550443,0.688569841243312,-0.23093388895161054,39.0
4988,Ge,Np,"(84.0, 'Ge')","(44.0, 'Np')",1.4722558464092792,0.6792297700422956,-0.1879454497075852,40.0
