,ele_1,ele_2,pearson_corr,mend_1,mend_2,mend_diff
352,He,Os,0.35008874330026263,"(1.0, 'He')","(63.0, 'Os')",62.0
353,Os,He,0.35008874330026263,"(63.0, 'Os')","(1.0, 'He')",62.0
354,He,Ir,0.027733458570699754,"(1.0, 'He')","(66.0, 'Ir')",65.0
355,Ir,He,0.027733458570699754,"(66.0, 'Ir')","(1.0, 'He')",65.0
356,He,Pt,0.5268341083447394,"(1.0, 'He')","(68.0, 'Pt')",67.0
357,Pt,He,0.5268341083447394,"(68.0, 'Pt')","(1.0, 'He')",67.0
358,He,Au,0.4218492460053833,"(1.0, 'He')","(70.0, 'Au')",69.0
359,Au,He,0.4218492460053833,"(70.0, 'Au')","(1.0, 'He')",69.0
360,He,Hg,0.2635139189955123,"(1.0, 'He')","(74.0, 'Hg')",73.0
361,Hg,He,0.2635139189955123,"(74.0, 'Hg')","(1.0, 'He')",73.0
362,He,Tl,0.3279870930293338,"(1.0, 'He')","(78.0, 'Tl')",77.0
363,Tl,He,0.3279870930293338,"(78.0, 'Tl')","(1.0, 'He')",77.0
364,He,Pb,0.3607840124362067,"(1.0, 'He')","(82.0, 'Pb')",81.0
365,Pb,He,0.3607840124362067,"(82.0, 'Pb')","(1.0, 'He')",81.0
366,He,Bi,0.05662610490606716,"(1.0, 'He')","(87.0, 'Bi')",86.0
367,Bi,He,0.05662610490606716,"(87.0, 'Bi')","(1.0, 'He')",86.0
368,He,Po,0.09125949222155254,"(1.0, 'He')","(91.0, 'Po')",90.0
369,Po,He,0.09125949222155254,"(91.0, 'Po')","(1.0, 'He')",90.0
370,He,At,0.6328836080074332,"(1.0, 'He')","(96.0, 'At')",95.0
371,At,He,0.6328836080074332,"(96.0, 'At')","(1.0, 'He')",95.0
372,He,Rn,0.2576271777587643,"(1.0, 'He')","(6.0, 'Rn')",5.0
373,Rn,He,0.2576271777587643,"(6.0, 'Rn')","(1.0, 'He')",5.0
374,He,Fr,0.4781791626835703,"(1.0, 'He')","(7.0, 'Fr')",6.0
375,Fr,He,0.4781791626835703,"(7.0, 'Fr')","(1.0, 'He')",6.0
376,He,Ra,-0.003670818600076328,"(1.0, 'He')","(13.0, 'Ra')",12.0
377,Ra,He,-0.003670818600076328,"(13.0, 'Ra')","(1.0, 'He')",12.0
378,He,Ac,0.00804181649486312,"(1.0, 'He')","(48.0, 'Ac')",47.0
379,Ac,He,0.00804181649486312,"(48.0, 'Ac')","(1.0, 'He')",47.0
380,He,Th,0.25078559913941595,"(1.0, 'He')","(47.0, 'Th')",46.0
381,Th,He,0.25078559913941595,"(47.0, 'Th')","(1.0, 'He')",46.0
382,He,Pa,0.13882335704862653,"(1.0, 'He')","(46.0, 'Pa')",45.0
383,Pa,He,0.13882335704862653,"(46.0, 'Pa')","(1.0, 'He')",45.0
384,He,U,0.09712381341829156,"(1.0, 'He')","(45.0, 'U')",44.0
385,U,He,0.09712381341829156,"(45.0, 'U')","(1.0, 'He')",44.0
386,He,Np,-0.0477996616682382,"(1.0, 'He')","(44.0, 'Np')",43.0
387,Np,He,-0.0477996616682382,"(44.0, 'Np')","(1.0, 'He')",43.0
388,He,Pu,-0.10724683360171729,"(1.0, 'He')","(43.0, 'Pu')",42.0
389,Pu,He,-0.10724683360171729,"(43.0, 'Pu')","(1.0, 'He')",42.0
390,He,Am,-0.03231595396773142,"(1.0, 'He')","(42.0, 'Am')",41.0
391,Am,He,-0.03231595396773142,"(42.0, 'Am')","(1.0, 'He')",41.0
392,He,Cm,0.2513643365379091,"(1.0, 'He')","(41.0, 'Cm')",40.0
393,Cm,He,0.2513643365379091,"(41.0, 'Cm')","(1.0, 'He')",40.0
394,He,Bk,0.2236037054356088,"(1.0, 'He')","(40.0, 'Bk')",39.0
395,Bk,He,0.2236037054356088,"(40.0, 'Bk')","(1.0, 'He')",39.0
396,He,Cf,0.5508028521764663,"(1.0, 'He')","(39.0, 'Cf')",38.0
397,Cf,He,0.5508028521764663,"(39.0, 'Cf')","(1.0, 'He')",38.0
398,He,Es,0.48196541037429186,"(1.0, 'He')","(38.0, 'Es')",37.0
399,Es,He,0.48196541037429186,"(38.0, 'Es')","(1.0, 'He')",37.0
400,He,Fm,0.48380544846970763,"(1.0, 'He')","(37.0, 'Fm')",36.0
401,Fm,He,0.48380544846970763,"(37.0, 'Fm')","(1.0, 'He')",36.0
402,He,Md,-0.10863695909032908,"(1.0, 'He')","(36.0, 'Md')",35.0
403,Md,He,-0.10863695909032908,"(36.0, 'Md')","(1.0, 'He')",35.0
404,He,No,0.5825692135641083,"(1.0, 'He')","(35.0, 'No')",34.0
405,No,He,0.5825692135641083,"(35.0, 'No')","(1.0, 'He')",34.0
406,He,Lr,0.5606227858265458,"(1.0, 'He')","(34.0, 'Lr')",33.0
407,Lr,He,0.5606227858265458,"(34.0, 'Lr')","(1.0, 'He')",33.0
408,Li,Li,1.0,"(12.0, 'Li')","(12.0, 'Li')",0.0
409,Li,Be,0.38969756753175744,"(12.0, 'Li')","(77.0, 'Be')",65.0
410,Be,Li,0.38969756753175744,"(77.0, 'Be')","(12.0, 'Li')",65.0
411,Li,B,0.1252078300122219,"(12.0, 'Li')","(86.0, 'B')",74.0
412,B,Li,0.1252078300122219,"(86.0, 'B')","(12.0, 'Li')",74.0
413,Li,C,0.4166287587124967,"(12.0, 'Li')","(95.0, 'C')",83.0
414,C,Li,0.4166287587124967,"(95.0, 'C')","(12.0, 'Li')",83.0
415,Li,N,0.4106552451920177,"(12.0, 'Li')","(100.0, 'N')",88.0
416,N,Li,0.4106552451920177,"(100.0, 'N')","(12.0, 'Li')",88.0
417,Li,O,0.4045966474918484,"(12.0, 'Li')","(101.0, 'O')",89.0
418,O,Li,0.4045966474918484,"(101.0, 'O')","(12.0, 'Li')",89.0
419,Li,F,0.465674958516031,"(12.0, 'Li')","(102.0, 'F')",90.0
420,F,Li,0.465674958516031,"(102.0, 'F')","(12.0, 'Li')",90.0
421,Li,Ne,0.6468040221352007,"(12.0, 'Li')","(2.0, 'Ne')",10.0
422,Ne,Li,0.6468040221352007,"(2.0, 'Ne')","(12.0, 'Li')",10.0
423,Li,Na,0.907117699498734,"(12.0, 'Li')","(11.0, 'Na')",1.0
424,Na,Li,0.907117699498734,"(11.0, 'Na')","(12.0, 'Li')",1.0
425,Li,Mg,0.5666778089213755,"(12.0, 'Li')","(73.0, 'Mg')",61.0
426,Mg,Li,0.5666778089213755,"(73.0, 'Mg')","(12.0, 'Li')",61.0
