,task_id,pretty_formula,spacegroup.symbol,spacegroup.crystal_system,e_above_hull,structure.lattice.volume,density,band_gap,final_energy,cat_oxi_state,an_oxi_state,coordination,coordination_num,coordination_env
601,mp-7591,GeAs,I4mm,tetragonal,0.09295011843749368,42.214802906187224,5.804404726809452,0.0,-9.15509378,3.0,-3.0,"[5, 'square pyramidal']",5.0,square pyramidal
602,mp-1002164,GeC,F-43m,cubic,0.43476253499999995,24.39998353014027,5.760897100254253,1.8485999999999994,-12.97475638,4.0,-4.0,"[4, 'tetrahedral']",4.0,tetrahedral
603,mp-1002165,GeC,Fm-3m,cubic,1.2680853350000003,21.106498087993348,6.6598349844211695,0.0,-11.30811078,4.0,-4.0,"[6, 'octahedral']",6.0,octahedral
604,mp-208,GeIr,Pnma,orthorhombic,0.0,128.47151380367958,13.693475932246066,0.0,-56.47037799,0.0,0.0,"[6, '6-coordinate']",6.0,6-coordinate
605,mp-1095275,GeP,C2/m,monoclinic,0.01463980321428604,262.17443201906605,3.937562446040862,0.8479999999999999,-60.00910731,3.0,-3.0,"[3.5, 'tetrahedral']",3.5,tetrahedral
606,mp-7590,GeP,I4mm,tetragonal,0.06458501071428646,36.48863827606717,4.715295164940285,0.0,-9.90162747,3.0,-3.0,"[5, 'square pyramidal']",5.0,square pyramidal
607,mp-8373,GeP,F-43m,cubic,0.2630956357142864,46.91930744466816,3.667034084876429,0.0,-9.50460622,3.0,-3.0,"[4, 'tetrahedral']",4.0,tetrahedral
608,mp-1424,GePd,Pnma,orthorhombic,0.0,133.27096080976958,8.924258471875575,0.0,-42.90096408,0.0,0.0,"[6, '6-coordinate']",6.0,6-coordinate
609,mp-542640,GePt,Pnma,orthorhombic,0.0,135.49007998286643,13.12468517614386,0.0,-46.52484502,2.0,-2.0,"[6, '6-coordinate']",6.0,6-coordinate
610,mp-22239,GeRh,Pnma,orthorhombic,0.0,123.93156084667211,9.408423769518201,0.0,-52.31032007,0.0,0.0,"[6, '6-coordinate']",6.0,6-coordinate
611,mp-20866,GeRh,P2_13,cubic,0.042011433750000826,119.52198031999937,9.75553316420592,0.0,-51.9742286,0.0,0.0,"[7, '7-coordinate']",7.0,7-coordinate
612,mp-1025397,GeRu,P2_13,cubic,0.011183253124995574,117.4174315883153,9.826555984308927,0.16600000000000037,-57.85191777,0.0,0.0,"[7, '7-coordinate']",7.0,7-coordinate
613,mp-2242,GeS,Pnma,orthorhombic,0.0,175.8656429001093,3.954535749023095,1.237,-37.03916032,2.0,-2.0,"[3, 'T-shaped']",3.0,T-shaped
614,mp-12910,GeS,Cmcm,orthorhombic,0.044148272500000196,84.60642588835199,4.110012712220945,0.7596000000000007,-18.34298707,2.0,-2.0,"[5, 'square pyramidal']",5.0,square pyramidal
