Pretty Formula,M,X
CoO,Co2+,O2-
CoF,Co1+,F1-
NaCo,Co1-,Na1+
MgCo,Co1-,Mg1+
AlCo,Co1-,Al1+
CoSi,Co1+,Si1-
CoSi,Co2+,Si2-
CoSi,Co3+,Si3-
CoSi,Co4+,Si4-
CoP,Co1+,P1-
CoP,Co2+,P2-
CoP,Co3+,P3-
CoS,Co1+,S1-
CoS,Co2+,S2-
CoCl,Co1+,Cl1-
KCo,Co1-,K1+
CaCo,Co1-,Ca1+
ScCo,Co1-,Sc1+
TiCo,Co1-,Ti1+
VCo,Co1-,V1+
CrCo,Co1-,Cr1+
MnCo,Co1-,Mn1+
FeCo,Co1-,Fe1+
CoNi,Co1+,Ni1-
ZnCo,Co1-,Zn1+
GaCo,Co1-,Ga1+
CoGe,Co1+,Ge1-
CoGe,Co2+,Ge2-
CoGe,Co3+,Ge3-
CoGe,Co4+,Ge4-
CoAs,Co3+,As3-
CoSe,Co2+,Se2-
CoBr,Co1+,Br1-
RbCo,Co1-,Rb1+
SrCo,Co1-,Sr1+
YCo,Co1-,Y1+
ZrCo,Co1-,Zr1+
NbCo,Co1-,Nb1+
CoMo,Co1+,Mo1-
CoMo,Co2+,Mo2-
CoRu,Co2+,Ru2-
CoRh,Co1+,Rh1-
CdCo,Co1-,Cd1+
InCo,Co1-,In1+
CoSn,Co4+,Sn4-
CoSb,Co3+,Sb3-
CoTe,Co2+,Te2-
CoI,Co1+,I1-
CsCo,Co1-,Cs1+
GdCo,Co1-,Gd1+
TbCo,Co1-,Tb1+
CoW,Co1-,W1+
CoRe,Co1+,Re1-
CoRe,Co3+,Re3-
CoOs,Co1+,Os1-
CoOs,Co2+,Os2-
CoIr,Co1+,Ir1-
CoIr,Co3+,Ir3-
CoPt,Co1+,Pt1-
CoPt,Co2+,Pt2-
CoAu,Co1+,Au1-
TlCo,Co1-,Tl1+
CoBi,Co3+,Bi3-
NiH,Ni1+,H1-
LiNi,Ni1-,Li1+
BeNi,Ni1-,Be1+
NiC,Ni1+,C1-
NiC,Ni2+,C2-
NiC,Ni3+,C3-
NiC,Ni4+,C4-
NiN,Ni1+,N1-
NiN,Ni2+,N2-
NiN,Ni3+,N3-
NiO,Ni1+,O1-
NiO,Ni2+,O2-
NiF,Ni1+,F1-
NaNi,Ni1-,Na1+
MgNi,Ni1-,Mg1+
AlNi,Ni1-,Al1+
SiNi,Ni1-,Si1+
NiP,Ni1+,P1-
NiP,Ni2+,P2-
NiP,Ni3+,P3-
NiS,Ni1+,S1-
NiS,Ni2+,S2-
NiCl,Ni1+,Cl1-
KNi,Ni1-,K1+
CaNi,Ni1-,Ca1+
ScNi,Ni1-,Sc1+
TiNi,Ni1-,Ti1+
VNi,Ni1-,V1+
CrNi,Ni1-,Cr1+
MnNi,Ni1-,Mn1+
FeNi,Ni1-,Fe1+
CoNi,Ni1-,Co1+
CuNi,Ni1-,Cu1+
ZnNi,Ni1-,Zn1+
GaNi,Ni1-,Ga1+
NiGe,Ni1+,Ge1-
NiGe,Ni2+,Ge2-
NiGe,Ni3+,Ge3-
NiGe,Ni4+,Ge4-
NiAs,Ni3+,As3-
NiSe,Ni2+,Se2-
NiBr,Ni1+,Br1-
RbNi,Ni1-,Rb1+
SrNi,Ni1-,Sr1+
YNi,Ni1-,Y1+
ZrNi,Ni1-,Zr1+
NbNi,Ni1-,Nb1+
NiMo,Ni1+,Mo1-
NiMo,Ni2+,Mo2-
NiRu,Ni2+,Ru2-
NiRh,Ni1+,Rh1-
CdNi,Ni1-,Cd1+
InNi,Ni1-,In1+
NiSn,Ni4+,Sn4-
NiSb,Ni3+,Sb3-
NiTe,Ni2+,Te2-
NiI,Ni1+,I1-
CsNi,Ni1-,Cs1+
GdNi,Ni1-,Gd1+
TbNi,Ni1-,Tb1+
NiW,Ni1-,W1+
ReNi,Ni1-,Re1+
NiOs,Ni1+,Os1-
NiOs,Ni2+,Os2-
NiIr,Ni1+,Ir1-
NiIr,Ni3+,Ir3-
NiPt,Ni1+,Pt1-
NiPt,Ni2+,Pt2-
NiAu,Ni1+,Au1-
NiHg,Ni1-,Hg1+
TlNi,Ni1-,Tl1+
NiBi,Ni1-,Bi1+
CuH,Cu1+,H1-
CuC,Cu1+,C1-
CuC,Cu2+,C2-
CuC,Cu3+,C3-
CuC,Cu4+,C4-
CuN,Cu1+,N1-
CuN,Cu2+,N2-
CuN,Cu3+,N3-
CuO,Cu1+,O1-
CuO,Cu2+,O2-
CuF,Cu1+,F1-
CuP,Cu1+,P1-
CuP,Cu2+,P2-
CuP,Cu3+,P3-
CuS,Cu1+,S1-
CuS,Cu2+,S2-
CuCl,Cu1+,Cl1-
CuNi,Cu1+,Ni1-
CuGe,Cu1+,Ge1-
CuGe,Cu2+,Ge2-
CuGe,Cu3+,Ge3-
CuGe,Cu4+,Ge4-
CuAs,Cu3+,As3-
CuSe,Cu2+,Se2-
CuBr,Cu1+,Br1-
CuMo,Cu1+,Mo1-
CuMo,Cu2+,Mo2-
CuRu,Cu2+,Ru2-
CuRh,Cu1+,Rh1-
CuSn,Cu4+,Sn4-
CuSb,Cu3+,Sb3-
CuTe,Cu2+,Te2-
CuI,Cu1+,I1-
CuOs,Cu1+,Os1-
CuOs,Cu2+,Os2-
CuIr,Cu1+,Ir1-
CuIr,Cu3+,Ir3-
CuPt,Cu1+,Pt1-
CuPt,Cu2+,Pt2-
CuAu,Cu1+,Au1-
ZnH,Zn1+,H1-
ZnC,Zn1+,C1-
ZnC,Zn2+,C2-
ZnN,Zn1+,N1-
ZnN,Zn2+,N2-
ZnO,Zn1+,O1-
ZnO,Zn2+,O2-
ZnF,Zn1+,F1-
ZnSi,Zn1+,Si1-
ZnSi,Zn2+,Si2-
ZnP,Zn1+,P1-
ZnP,Zn2+,P2-
ZnS,Zn1+,S1-
ZnS,Zn2+,S2-
ZnCl,Zn1+,Cl1-
ZnCr,Zn1+,Cr1-
ZnCr,Zn2+,Cr2-
ZnFe,Zn1+,Fe1-
ZnFe,Zn2+,Fe2-
ZnCo,Zn1+,Co1-
ZnNi,Zn1+,Ni1-
ZnGe,Zn1+,Ge1-
ZnGe,Zn2+,Ge2-
ZnSe,Zn2+,Se2-
ZnBr,Zn1+,Br1-
ZnMo,Zn1+,Mo1-
ZnMo,Zn2+,Mo2-
ZnRu,Zn2+,Ru2-
ZnRh,Zn1+,Rh1-
ZnTe,Zn2+,Te2-
ZnI,Zn1+,I1-
ZnW,Zn1+,W1-
ZnW,Zn2+,W2-
ZnRe,Zn1+,Re1-
ZnOs,Zn1+,Os1-
ZnOs,Zn2+,Os2-
ZnIr,Zn1+,Ir1-
ZnPt,Zn1+,Pt1-
ZnPt,Zn2+,Pt2-
ZnAu,Zn1+,Au1-
TlZn,Zn1+,Tl1-
GaH,Ga1+,H1-
GaC,Ga1+,C1-
GaC,Ga2+,C2-
GaC,Ga3+,C3-
GaN,Ga1+,N1-
GaN,Ga2+,N2-
GaN,Ga3+,N3-
GaO,Ga1+,O1-
GaO,Ga2+,O2-
GaF,Ga1+,F1-
GaSi,Ga1+,Si1-
GaSi,Ga2+,Si2-
GaSi,Ga3+,Si3-
GaP,Ga1+,P1-
GaP,Ga2+,P2-
GaP,Ga3+,P3-
GaS,Ga1+,S1-
GaS,Ga2+,S2-
GaCl,Ga1+,Cl1-
GaFe,Ga1+,Fe1-
GaFe,Ga2+,Fe2-
GaCo,Ga1+,Co1-
GaNi,Ga1+,Ni1-
GaGe,Ga1+,Ge1-
GaGe,Ga2+,Ge2-
GaGe,Ga3+,Ge3-
GaAs,Ga3+,As3-
GaSe,Ga2+,Se2-
GaBr,Ga1+,Br1-
GaMo,Ga1+,Mo1-
GaMo,Ga2+,Mo2-
GaRu,Ga2+,Ru2-
GaRh,Ga1+,Rh1-
GaSb,Ga3+,Sb3-
GaTe,Ga2+,Te2-
GaI,Ga1+,I1-
GaRe,Ga1+,Re1-
GaRe,Ga3+,Re3-
GaOs,Ga1+,Os1-
GaOs,Ga2+,Os2-
GaIr,Ga1+,Ir1-
GaIr,Ga3+,Ir3-
GaPt,Ga1+,Pt1-
GaPt,Ga2+,Pt2-
GaAu,Ga1+,Au1-
GaBi,Ga3+,Bi3-
GeH,Ge1+,H1-
LiGe,Ge1-,Li1+
BeGe,Ge2-,Be2+
BeGe,Ge1-,Be1+
GeC,Ge1+,C1-
GeC,Ge2+,C2-
GeC,Ge3+,C3-
GeC,Ge4+,C4-
GeN,Ge1+,N1-
GeN,Ge2+,N2-
GeN,Ge3+,N3-
GeO,Ge1+,O1-
GeO,Ge2+,O2-
GeF,Ge1+,F1-
NaGe,Ge1-,Na1+
MgGe,Ge2-,Mg2+
MgGe,Ge1-,Mg1+
AlGe,Ge3-,Al3+
AlGe,Ge2-,Al2+
AlGe,Ge1-,Al1+
SiGe,Ge4-,Si4+
SiGe,Ge3-,Si3+
SiGe,Ge2-,Si2+
SiGe,Ge1-,Si1+
GeP,Ge1+,P1-
GeP,Ge2+,P2-
GeP,Ge3+,P3-
GeS,Ge1+,S1-
GeS,Ge2+,S2-
GeCl,Ge1+,Cl1-
KGe,Ge1-,K1+
CaGe,Ge2-,Ca2+
CaGe,Ge1-,Ca1+
ScGe,Ge3-,Sc3+
ScGe,Ge2-,Sc2+
ScGe,Ge1-,Sc1+
TiGe,Ge4-,Ti4+
TiGe,Ge3-,Ti3+
TiGe,Ge2-,Ti2+
TiGe,Ge1-,Ti1+
VGe,Ge4-,V4+
VGe,Ge3-,V3+
VGe,Ge2-,V2+
VGe,Ge1-,V1+
CrGe,Ge4-,Cr4+
CrGe,Ge3-,Cr3+
CrGe,Ge2-,Cr2+
CrGe,Ge1-,Cr1+
MnGe,Ge4-,Mn4+
MnGe,Ge3-,Mn3+
MnGe,Ge2-,Mn2+
MnGe,Ge1-,Mn1+
FeGe,Ge4-,Fe4+
FeGe,Ge3-,Fe3+
FeGe,Ge2-,Fe2+
FeGe,Ge1-,Fe1+
CoGe,Ge4-,Co4+
CoGe,Ge3-,Co3+
CoGe,Ge2-,Co2+
CoGe,Ge1-,Co1+
NiGe,Ge4-,Ni4+
NiGe,Ge3-,Ni3+
NiGe,Ge2-,Ni2+
NiGe,Ge1-,Ni1+
CuGe,Ge4-,Cu4+
CuGe,Ge3-,Cu3+
CuGe,Ge2-,Cu2+
CuGe,Ge1-,Cu1+
ZnGe,Ge2-,Zn2+
ZnGe,Ge1-,Zn1+
GaGe,Ge3-,Ga3+
GaGe,Ge2-,Ga2+
GaGe,Ge1-,Ga1+
GeAs,Ge3+,As3-
GeSe,Ge2+,Se2-
GeBr,Ge1+,Br1-
RbGe,Ge1-,Rb1+
SrGe,Ge2-,Sr2+
SrGe,Ge1-,Sr1+
YGe,Ge3-,Y3+
YGe,Ge2-,Y2+
YGe,Ge1-,Y1+
ZrGe,Ge4-,Zr4+
ZrGe,Ge3-,Zr3+
ZrGe,Ge2-,Zr2+
ZrGe,Ge1-,Zr1+
NbGe,Ge4-,Nb4+
NbGe,Ge3-,Nb3+
NbGe,Ge2-,Nb2+
NbGe,Ge1-,Nb1+
GeMo,Ge1+,Mo1-
GeMo,Ge2+,Mo2-
GeRu,Ge2+,Ru2-
GeRh,Ge1+,Rh1-
AgGe,Ge4-,Ag4+
AgGe,Ge3-,Ag3+
AgGe,Ge2-,Ag2+
AgGe,Ge1-,Ag1+
CdGe,Ge2-,Cd2+
CdGe,Ge1-,Cd1+
InGe,Ge3-,In3+
InGe,Ge2-,In2+
InGe,Ge1-,In1+
SnGe,Ge4-,Sn4+
SnGe,Ge2-,Sn2+
GeSb,Ge3+,Sb3-
GeTe,Ge2+,Te2-
GeI,Ge1+,I1-
CsGe,Ge1-,Cs1+
BaGe,Ge2-,Ba2+
LaGe,Ge3-,La3+
LaGe,Ge2-,La2+
CeGe,Ge4-,Ce4+
CeGe,Ge3-,Ce3+
CeGe,Ge2-,Ce2+
PrGe,Ge4-,Pr4+
PrGe,Ge3-,Pr3+
PrGe,Ge2-,Pr2+
NdGe,Ge4-,Nd4+
NdGe,Ge3-,Nd3+
NdGe,Ge2-,Nd2+
SmGe,Ge3-,Sm3+
SmGe,Ge2-,Sm2+
EuGe,Ge3-,Eu3+
EuGe,Ge2-,Eu2+
GdGe,Ge3-,Gd3+
GdGe,Ge2-,Gd2+
GdGe,Ge1-,Gd1+
TbGe,Ge4-,Tb4+
TbGe,Ge3-,Tb3+
TbGe,Ge2-,Tb2+
TbGe,Ge1-,Tb1+
DyGe,Ge4-,Dy4+
DyGe,Ge3-,Dy3+
DyGe,Ge2-,Dy2+
HoGe,Ge3-,Ho3+
HoGe,Ge2-,Ho2+
ErGe,Ge3-,Er3+
ErGe,Ge2-,Er2+
TmGe,Ge3-,Tm3+
TmGe,Ge2-,Tm2+
YbGe,Ge3-,Yb3+
YbGe,Ge2-,Yb2+
LuGe,Ge3-,Lu3+
HfGe,Ge4-,Hf4+
HfGe,Ge3-,Hf3+
HfGe,Ge2-,Hf2+
TaGe,Ge4-,Ta4+
TaGe,Ge3-,Ta3+
TaGe,Ge2-,Ta2+
GeW,Ge4-,W4+
GeW,Ge3-,W3+
GeW,Ge2-,W2+
GeW,Ge1-,W1+
ReGe,Ge4-,Re4+
ReGe,Ge3-,Re3+
ReGe,Ge2-,Re2+
ReGe,Ge1-,Re1+
GeOs,Ge1+,Os1-
GeOs,Ge2+,Os2-
GeIr,Ge1+,Ir1-
GeIr,Ge3+,Ir3-
GePt,Ge1+,Pt1-
GePt,Ge2+,Pt2-
GeAu,Ge1+,Au1-
HgGe,Ge4-,Hg4+
HgGe,Ge2-,Hg2+
HgGe,Ge1-,Hg1+
TlGe,Ge3-,Tl3+
TlGe,Ge1-,Tl1+
GePb,Ge4-,Pb4+
GePb,Ge2-,Pb2+
GeBi,Ge3-,Bi3+
GeBi,Ge1-,Bi1+
AsH,As1+,H1-
BAs,As3-,B3+
AsC,As1+,C1-
AsC,As2+,C2-
AsC,As3+,C3-
AsN,As1+,N1-
AsN,As2+,N2-
AsN,As3+,N3-
AsO,As1+,O1-
AsO,As2+,O2-
AsF,As1+,F1-
AlAs,As3-,Al3+
SiAs,As3-,Si3+
AsP,As1+,P1-
AsP,As2+,P2-
AsP,As3+,P3-
AsS,As1+,S1-
AsS,As2+,S2-
AsCl,As1+,Cl1-
ScAs,As3-,Sc3+
TiAs,As3-,Ti3+
VAs,As3-,V3+
CrAs,As3-,Cr3+
MnAs,As3-,Mn3+
FeAs,As3-,Fe3+
CoAs,As3-,Co3+
NiAs,As3-,Ni3+
CuAs,As3-,Cu3+
GaAs,As3-,Ga3+
GeAs,As3-,Ge3+
AsSe,As2+,Se2-
AsBr,As1+,Br1-
YAs,As3-,Y3+
ZrAs,As3-,Zr3+
NbAs,As3-,Nb3+
MoAs,As3-,Mo3+
AsRu,As2+,Ru2-
AsRh,As1+,Rh1-
AgAs,As3-,Ag3+
InAs,As3-,In3+
SbAs,As3-,Sb3+
AsI,As1+,I1-
LaAs,As3-,La3+
CeAs,As3-,Ce3+
PrAs,As3-,Pr3+
NdAs,As3-,Nd3+
SmAs,As3-,Sm3+
EuAs,As3-,Eu3+
GdAs,As3-,Gd3+
TbAs,As3-,Tb3+
DyAs,As3-,Dy3+
HoAs,As3-,Ho3+
ErAs,As3-,Er3+
TmAs,As3-,Tm3+
YbAs,As3-,Yb3+
LuAs,As3-,Lu3+
HfAs,As3-,Hf3+
TaAs,As3-,Ta3+
AsW,As3-,W3+
ReAs,As3-,Re3+
AsOs,As1+,Os1-
AsOs,As2+,Os2-
AsIr,As1+,Ir1-
AsIr,As3+,Ir3-
AsPt,As1+,Pt1-
AsPt,As2+,Pt2-
AsAu,As1+,Au1-
TlAs,As3-,Tl3+
BiAs,As3-,Bi3+
BeSe,Se2-,Be2+
BSe,Se2-,B2+
SeN,Se1+,N1-
SeN,Se2+,N2-
SeO,Se1+,O1-
SeO,Se2+,O2-
SeF,Se1+,F1-
MgSe,Se2-,Mg2+
AlSe,Se2-,Al2+
SiSe,Se2-,Si2+
PSe,Se2-,P2+
SeS,Se1+,S1-
SeS,Se2+,S2-
SeCl,Se1+,Cl1-
CaSe,Se2-,Ca2+
ScSe,Se2-,Sc2+
TiSe,Se2-,Ti2+
VSe,Se2-,V2+
CrSe,Se2-,Cr2+
MnSe,Se2-,Mn2+
FeSe,Se2-,Fe2+
CoSe,Se2-,Co2+
NiSe,Se2-,Ni2+
CuSe,Se2-,Cu2+
ZnSe,Se2-,Zn2+
GaSe,Se2-,Ga2+
GeSe,Se2-,Ge2+
AsSe,Se2-,As2+
SeBr,Se1+,Br1-
SrSe,Se2-,Sr2+
YSe,Se2-,Y2+
ZrSe,Se2-,Zr2+
NbSe,Se2-,Nb2+
MoSe,Se2-,Mo2+
RuSe,Se2-,Ru2+
RhSe,Se2-,Rh2+
PdSe,Se2-,Pd2+
AgSe,Se2-,Ag2+
CdSe,Se2-,Cd2+
InSe,Se2-,In2+
SnSe,Se2-,Sn2+
TeSe,Se2-,Te2+
SeI,Se1+,I1-
BaSe,Se2-,Ba2+
LaSe,Se2-,La2+
CeSe,Se2-,Ce2+
PrSe,Se2-,Pr2+
NdSe,Se2-,Nd2+
SmSe,Se2-,Sm2+
EuSe,Se2-,Eu2+
GdSe,Se2-,Gd2+
TbSe,Se2-,Tb2+
DySe,Se2-,Dy2+
HoSe,Se2-,Ho2+
ErSe,Se2-,Er2+
TmSe,Se2-,Tm2+
YbSe,Se2-,Yb2+
HfSe,Se2-,Hf2+
TaSe,Se2-,Ta2+
WSe,Se2-,W2+
ReSe,Se2-,Re2+
OsSe,Se2-,Os2+
IrSe,Se2-,Ir2+
PtSe,Se2-,Pt2+
AuSe,Se2-,Au2+
HgSe,Se2-,Hg2+
PbSe,Se2-,Pb2+
HBr,Br1-,H1+
LiBr,Br1-,Li1+
BeBr,Br1-,Be1+
BBr,Br1-,B1+
CBr,Br1-,C1+
BrN,Br1+,N1-
BrN,Br2+,N2-
BrN,Br3+,N3-
BrO,Br1+,O1-
BrO,Br2+,O2-
BrF,Br1+,F1-
NaBr,Br1-,Na1+
MgBr,Br1-,Mg1+
AlBr,Br1-,Al1+
SiBr,Br1-,Si1+
PBr,Br1-,P1+
SBr,Br1-,S1+
BrCl,Br1+,Cl1-
KBr,Br1-,K1+
CaBr,Br1-,Ca1+
ScBr,Br1-,Sc1+
TiBr,Br1-,Ti1+
VBr,Br1-,V1+
CrBr,Br1-,Cr1+
MnBr,Br1-,Mn1+
FeBr,Br1-,Fe1+
CoBr,Br1-,Co1+
NiBr,Br1-,Ni1+
CuBr,Br1-,Cu1+
ZnBr,Br1-,Zn1+
GaBr,Br1-,Ga1+
GeBr,Br1-,Ge1+
AsBr,Br1-,As1+
SeBr,Br1-,Se1+
RbBr,Br1-,Rb1+
SrBr,Br1-,Sr1+
YBr,Br1-,Y1+
ZrBr,Br1-,Zr1+
NbBr,Br1-,Nb1+
MoBr,Br1-,Mo1+
RuBr,Br1-,Ru1+
RhBr,Br1-,Rh1+
PdBr,Br1-,Pd1+
AgBr,Br1-,Ag1+
CdBr,Br1-,Cd1+
InBr,Br1-,In1+
IBr,Br1-,I1+
CsBr,Br1-,Cs1+
GdBr,Br1-,Gd1+
TbBr,Br1-,Tb1+
WBr,Br1-,W1+
ReBr,Br1-,Re1+
OsBr,Br1-,Os1+
IrBr,Br1-,Ir1+
PtBr,Br1-,Pt1+
AuBr,Br1-,Au1+
HgBr,Br1-,Hg1+
TlBr,Br1-,Tl1+
BiBr,Br1-,Bi1+
RbH,Rb1+,H1-
RbC,Rb1+,C1-
RbN,Rb1+,N1-
Rb2O2,Rb1+,O1-
RbF,Rb1+,F1-
RbNa,Rb1+,Na1-
RbSi,Rb1+,Si1-
RbP,Rb1+,P1-
RbS,Rb1+,S1-
RbCl,Rb1+,Cl1-
RbTi,Rb1+,Ti1-
RbV,Rb1+,V1-
RbCr,Rb1+,Cr1-
RbMn,Rb1+,Mn1-
RbFe,Rb1+,Fe1-
RbCo,Rb1+,Co1-
RbNi,Rb1+,Ni1-
RbGe,Rb1+,Ge1-
RbBr,Rb1+,Br1-
RbZr,Rb1-,Zr1+
RbNb,Rb1+,Nb1-
RbMo,Rb1+,Mo1-
RbRh,Rb1+,Rh1-
RbI,Rb1+,I1-
CsRb,Rb1-,Cs1+
RbTa,Rb1+,Ta1-
RbW,Rb1+,W1-
RbRe,Rb1+,Re1-
RbOs,Rb1+,Os1-
RbIr,Rb1+,Ir1-
RbPt,Rb1+,Pt1-
RbAu,Rb1+,Au1-
RbTl,Rb1+,Tl1-
SrH,Sr1+,H1-
SrC,Sr1+,C1-
SrC,Sr2+,C2-
SrN,Sr1+,N1-
SrN,Sr2+,N2-
SrO,Sr1+,O1-
SrO,Sr2+,O2-
SrF,Sr1+,F1-
SrSi,Sr1+,Si1-
SrSi,Sr2+,Si2-
SrP,Sr1+,P1-
SrP,Sr2+,P2-
SrS,Sr1+,S1-
SrS,Sr2+,S2-
SrCl,Sr1+,Cl1-
SrTi,Sr1+,Ti1-
SrV,Sr1+,V1-
SrCr,Sr1+,Cr1-
SrCr,Sr2+,Cr2-
SrMn,Sr1+,Mn1-
SrMn,Sr2+,Mn2-
SrFe,Sr1+,Fe1-
SrFe,Sr2+,Fe2-
SrCo,Sr1+,Co1-
SrNi,Sr1+,Ni1-
SrGe,Sr1+,Ge1-
SrGe,Sr2+,Ge2-
SrSe,Sr2+,Se2-
SrBr,Sr1+,Br1-
SrNb,Sr1+,Nb1-
SrMo,Sr1+,Mo1-
SrMo,Sr2+,Mo2-
SrRu,Sr2+,Ru2-
SrRh,Sr1+,Rh1-
SrTe,Sr2+,Te2-
SrI,Sr1+,I1-
SrTa,Sr1+,Ta1-
SrW,Sr1+,W1-
SrW,Sr2+,W2-
SrRe,Sr1+,Re1-
SrOs,Sr1+,Os1-
SrOs,Sr2+,Os2-
SrIr,Sr1+,Ir1-
SrPt,Sr1+,Pt1-
SrPt,Sr2+,Pt2-
SrAu,Sr1+,Au1-
SrTl,Sr1+,Tl1-
YH,Y1+,H1-
YC,Y1+,C1-
YC,Y2+,C2-
YC,Y3+,C3-
YN,Y1+,N1-
YN,Y2+,N2-
YN,Y3+,N3-
YO,Y1+,O1-
YO,Y2+,O2-
YF,Y1+,F1-
YSi,Y1+,Si1-
YSi,Y2+,Si2-
YSi,Y3+,Si3-
YP,Y1+,P1-
YP,Y2+,P2-
YP,Y3+,P3-
YS,Y1+,S1-
YS,Y2+,S2-
YCl,Y1+,Cl1-
YTi,Y1+,Ti1-
YV,Y1+,V1-
YCr,Y1+,Cr1-
YCr,Y2+,Cr2-
YMn,Y1+,Mn1-
YMn,Y2+,Mn2-
YMn,Y3+,Mn3-
YFe,Y1+,Fe1-
YFe,Y2+,Fe2-
YCo,Y1+,Co1-
YNi,Y1+,Ni1-
YGe,Y1+,Ge1-
YGe,Y2+,Ge2-
YGe,Y3+,Ge3-
YAs,Y3+,As3-
YSe,Y2+,Se2-
YBr,Y1+,Br1-
YNb,Y1+,Nb1-
YMo,Y1+,Mo1-
YMo,Y2+,Mo2-
YRu,Y2+,Ru2-
YRh,Y1+,Rh1-
YSb,Y3+,Sb3-
YTe,Y2+,Te2-
YI,Y1+,I1-
YTa,Y1+,Ta1-
YW,Y1+,W1-
YW,Y2+,W2-
YRe,Y1+,Re1-
YRe,Y3+,Re3-
YOs,Y1+,Os1-
YOs,Y2+,Os2-
YIr,Y1+,Ir1-
YIr,Y3+,Ir3-
YPt,Y1+,Pt1-
YPt,Y2+,Pt2-
YAu,Y1+,Au1-
YTl,Y1+,Tl1-
YBi,Y3+,Bi3-
ZrH,Zr1+,H1-
ZrC,Zr1+,C1-
ZrC,Zr2+,C2-
ZrC,Zr3+,C3-
ZrC,Zr4+,C4-
ZrN,Zr1+,N1-
ZrN,Zr2+,N2-
ZrN,Zr3+,N3-
ZrO,Zr1+,O1-
ZrO,Zr2+,O2-
ZrF,Zr1+,F1-
NaZr,Zr1+,Na1-
ZrSi,Zr1+,Si1-
ZrSi,Zr2+,Si2-
ZrSi,Zr3+,Si3-
ZrSi,Zr4+,Si4-
ZrP,Zr1+,P1-
ZrP,Zr2+,P2-
ZrP,Zr3+,P3-
ZrS,Zr1+,S1-
ZrS,Zr2+,S2-
ZrCl,Zr1+,Cl1-
KZr,Zr1+,K1-
ZrTi,Zr1+,Ti1-
ZrV,Zr1+,V1-
ZrCr,Zr1+,Cr1-
ZrCr,Zr2+,Cr2-
ZrMn,Zr1+,Mn1-
ZrMn,Zr2+,Mn2-
ZrMn,Zr3+,Mn3-
ZrFe,Zr1+,Fe1-
ZrFe,Zr2+,Fe2-
ZrCo,Zr1+,Co1-
ZrNi,Zr1+,Ni1-
ZrGe,Zr1+,Ge1-
ZrGe,Zr2+,Ge2-
ZrGe,Zr3+,Ge3-
ZrGe,Zr4+,Ge4-
ZrAs,Zr3+,As3-
ZrSe,Zr2+,Se2-
ZrBr,Zr1+,Br1-
RbZr,Zr1+,Rb1-
ZrNb,Zr1+,Nb1-
ZrMo,Zr1+,Mo1-
ZrMo,Zr2+,Mo2-
ZrRu,Zr2+,Ru2-
ZrRh,Zr1+,Rh1-
ZrSn,Zr4+,Sn4-
ZrSb,Zr3+,Sb3-
ZrTe,Zr2+,Te2-
ZrI,Zr1+,I1-
CsZr,Zr1+,Cs1-
ZrTa,Zr1+,Ta1-
ZrW,Zr1+,W1-
ZrW,Zr2+,W2-
ZrRe,Zr1+,Re1-
ZrRe,Zr3+,Re3-
ZrOs,Zr1+,Os1-
ZrOs,Zr2+,Os2-
ZrIr,Zr1+,Ir1-
ZrIr,Zr3+,Ir3-
ZrPt,Zr1+,Pt1-
ZrPt,Zr2+,Pt2-
ZrAu,Zr1+,Au1-
ZrTl,Zr1+,Tl1-
ZrPb,Zr4+,Pb4-
ZrBi,Zr3+,Bi3-
NbH,Nb1+,H1-
LiNb,Nb1-,Li1+
BeNb,Nb1-,Be1+
NbC,Nb1+,C1-
NbC,Nb2+,C2-
NbC,Nb3+,C3-
NbC,Nb4+,C4-
NbN,Nb1+,N1-
NbN,Nb2+,N2-
NbN,Nb3+,N3-
NbO,Nb1+,O1-
NbO,Nb2+,O2-
NbF,Nb1+,F1-
NaNb,Nb1-,Na1+
MgNb,Nb1-,Mg1+
NbSi,Nb1+,Si1-
NbSi,Nb2+,Si2-
NbSi,Nb3+,Si3-
NbSi,Nb4+,Si4-
NbP,Nb1+,P1-
NbP,Nb2+,P2-
NbP,Nb3+,P3-
NbS,Nb1+,S1-
NbS,Nb2+,S2-
NbCl,Nb1+,Cl1-
KNb,Nb1-,K1+
CaNb,Nb1-,Ca1+
ScNb,Nb1-,Sc1+
TiNb,Nb1-,Ti1+
NbV,Nb1+,V1-
NbCr,Nb1+,Cr1-
NbCr,Nb2+,Cr2-
MnNb,Nb1-,Mn1+
NbFe,Nb1+,Fe1-
NbFe,Nb2+,Fe2-
NbCo,Nb1+,Co1-
NbNi,Nb1+,Ni1-
NbGe,Nb1+,Ge1-
NbGe,Nb2+,Ge2-
NbGe,Nb3+,Ge3-
NbGe,Nb4+,Ge4-
NbAs,Nb3+,As3-
NbSe,Nb2+,Se2-
NbBr,Nb1+,Br1-
RbNb,Nb1-,Rb1+
SrNb,Nb1-,Sr1+
YNb,Nb1-,Y1+
ZrNb,Nb1-,Zr1+
NbMo,Nb1+,Mo1-
NbMo,Nb2+,Mo2-
NbRu,Nb2+,Ru2-
NbRh,Nb1+,Rh1-
NbSn,Nb4+,Sn4-
NbSb,Nb3+,Sb3-
NbTe,Nb2+,Te2-
NbI,Nb1+,I1-
CsNb,Nb1-,Cs1+
GdNb,Nb1-,Gd1+
TbNb,Nb1-,Tb1+
NbW,Nb1+,W1-
NbW,Nb2+,W2-
