Pretty Formula,M,X
BeO,O1-,Be1+
BO,O2-,B2+
BO,O1-,B1+
CO,O2-,C2+
CO,O1-,C1+
NO,O2-,N2+
NO,O1-,N1+
OF,O1+,F1-
Na2O2,O1-,Na1+
MgO,O2-,Mg2+
MgO,O1-,Mg1+
AlO,O2-,Al2+
AlO,O1-,Al1+
SiO,O2-,Si2+
SiO,O1-,Si1+
PO,O2-,P2+
PO,O1-,P1+
SO,O2-,S2+
SO,O1-,S1+
ClO,O2-,Cl2+
ClO,O1-,Cl1+
K2O2,O1-,K1+
CaO,O2-,Ca2+
CaO,O1-,Ca1+
ScO,O2-,Sc2+
ScO,O1-,Sc1+
TiO,O2-,Ti2+
TiO,O1-,Ti1+
VO,O2-,V2+
VO,O1-,V1+
CrO,O2-,Cr2+
CrO,O1-,Cr1+
MnO,O2-,Mn2+
MnO,O1-,Mn1+
FeO,O2-,Fe2+
FeO,O1-,Fe1+
CoO,O2-,Co2+
CoO,O1-,Co1+
NiO,O2-,Ni2+
NiO,O1-,Ni1+
CuO,O2-,Cu2+
CuO,O1-,Cu1+
ZnO,O2-,Zn2+
ZnO,O1-,Zn1+
GaO,O2-,Ga2+
GaO,O1-,Ga1+
GeO,O2-,Ge2+
GeO,O1-,Ge1+
AsO,O2-,As2+
AsO,O1-,As1+
SeO,O2-,Se2+
SeO,O1-,Se1+
BrO,O2-,Br2+
BrO,O1-,Br1+
Rb2O2,O1-,Rb1+
SrO,O2-,Sr2+
SrO,O1-,Sr1+
YO,O2-,Y2+
YO,O1-,Y1+
ZrO,O2-,Zr2+
ZrO,O1-,Zr1+
NbO,O2-,Nb2+
NbO,O1-,Nb1+
MoO,O2-,Mo2+
MoO,O1-,Mo1+
RuO,O2-,Ru2+
RuO,O1-,Ru1+
RhO,O2-,Rh2+
RhO,O1-,Rh1+
PdO,O2-,Pd2+
PdO,O1-,Pd1+
AgO,O2-,Ag2+
AgO,O1-,Ag1+
CdO,O2-,Cd2+
CdO,O1-,Cd1+
InO,O2-,In2+
InO,O1-,In1+
SnO,O2-,Sn2+
TeO,O2-,Te2+
IO,O1-,I1+
Cs2O2,O1-,Cs1+
BaO,O2-,Ba2+
LaO,O2-,La2+
CeO,O2-,Ce2+
PrO,O2-,Pr2+
NdO,O2-,Nd2+
SmO,O2-,Sm2+
EuO,O2-,Eu2+
GdO,O2-,Gd2+
GdO,O1-,Gd1+
TbO,O2-,Tb2+
TbO,O1-,Tb1+
DyO,O2-,Dy2+
HoO,O2-,Ho2+
ErO,O2-,Er2+
TmO,O2-,Tm2+
YbO,O2-,Yb2+
HfO,O2-,Hf2+
TaO,O2-,Ta2+
WO,O2-,W2+
WO,O1-,W1+
ReO,O2-,Re2+
ReO,O1-,Re1+
OsO,O2-,Os2+
OsO,O1-,Os1+
IrO,O2-,Ir2+
IrO,O1-,Ir1+
PtO,O2-,Pt2+
PtO,O1-,Pt1+
AuO,O2-,Au2+
AuO,O1-,Au1+
HgO,O2-,Hg2+
HgO,O1-,Hg1+
TlO,O1-,Tl1+
PbO,O2-,Pb2+
BiO,O1-,Bi1+
HF,F1-,H1+
LiF,F1-,Li1+
BeF,F1-,Be1+
BF,F1-,B1+
CF,F1-,C1+
NF,F1-,N1+
OF,F1-,O1+
NaF,F1-,Na1+
MgF,F1-,Mg1+
AlF,F1-,Al1+
SiF,F1-,Si1+
PF,F1-,P1+
SF,F1-,S1+
ClF,F1-,Cl1+
KF,F1-,K1+
CaF,F1-,Ca1+
ScF,F1-,Sc1+
TiF,F1-,Ti1+
VF,F1-,V1+
CrF,F1-,Cr1+
MnF,F1-,Mn1+
FeF,F1-,Fe1+
CoF,F1-,Co1+
NiF,F1-,Ni1+
CuF,F1-,Cu1+
ZnF,F1-,Zn1+
GaF,F1-,Ga1+
GeF,F1-,Ge1+
AsF,F1-,As1+
SeF,F1-,Se1+
BrF,F1-,Br1+
RbF,F1-,Rb1+
SrF,F1-,Sr1+
YF,F1-,Y1+
ZrF,F1-,Zr1+
NbF,F1-,Nb1+
MoF,F1-,Mo1+
RuF,F1-,Ru1+
RhF,F1-,Rh1+
PdF,F1-,Pd1+
AgF,F1-,Ag1+
CdF,F1-,Cd1+
InF,F1-,In1+
IF,F1-,I1+
CsF,F1-,Cs1+
GdF,F1-,Gd1+
TbF,F1-,Tb1+
WF,F1-,W1+
ReF,F1-,Re1+
OsF,F1-,Os1+
IrF,F1-,Ir1+
PtF,F1-,Pt1+
AuF,F1-,Au1+
HgF,F1-,Hg1+
TlF,F1-,Tl1+
BiF,F1-,Bi1+
NaH,Na1+,H1-
NaC,Na1+,C1-
NaN,Na1+,N1-
Na2O2,Na1+,O1-
NaF,Na1+,F1-
NaSi,Na1+,Si1-
NaP,Na1+,P1-
NaS,Na1+,S1-
NaCl,Na1+,Cl1-
KNa,Na1-,K1+
NaTi,Na1+,Ti1-
NaV,Na1+,V1-
NaCr,Na1+,Cr1-
NaMn,Na1+,Mn1-
NaFe,Na1+,Fe1-
NaCo,Na1+,Co1-
NaNi,Na1+,Ni1-
NaGe,Na1+,Ge1-
NaBr,Na1+,Br1-
RbNa,Na1-,Rb1+
NaZr,Na1-,Zr1+
NaNb,Na1+,Nb1-
NaMo,Na1+,Mo1-
NaRh,Na1+,Rh1-
NaI,Na1+,I1-
CsNa,Na1-,Cs1+
NaTa,Na1+,Ta1-
NaW,Na1+,W1-
NaRe,Na1+,Re1-
NaOs,Na1+,Os1-
NaIr,Na1+,Ir1-
NaPt,Na1+,Pt1-
NaAu,Na1+,Au1-
NaTl,Na1+,Tl1-
MgH,Mg1+,H1-
MgC,Mg1+,C1-
MgC,Mg2+,C2-
MgN,Mg1+,N1-
MgN,Mg2+,N2-
MgO,Mg1+,O1-
MgO,Mg2+,O2-
MgF,Mg1+,F1-
MgSi,Mg1+,Si1-
MgSi,Mg2+,Si2-
MgP,Mg1+,P1-
MgP,Mg2+,P2-
MgS,Mg1+,S1-
MgS,Mg2+,S2-
MgCl,Mg1+,Cl1-
MgTi,Mg1+,Ti1-
MgV,Mg1+,V1-
MgCr,Mg1+,Cr1-
MgCr,Mg2+,Cr2-
MgMn,Mg1+,Mn1-
MgMn,Mg2+,Mn2-
MgFe,Mg1+,Fe1-
MgFe,Mg2+,Fe2-
MgCo,Mg1+,Co1-
MgNi,Mg1+,Ni1-
MgGe,Mg1+,Ge1-
MgGe,Mg2+,Ge2-
MgSe,Mg2+,Se2-
MgBr,Mg1+,Br1-
MgNb,Mg1+,Nb1-
MgMo,Mg1+,Mo1-
MgMo,Mg2+,Mo2-
MgRu,Mg2+,Ru2-
MgRh,Mg1+,Rh1-
MgTe,Mg2+,Te2-
MgI,Mg1+,I1-
MgTa,Mg1+,Ta1-
MgW,Mg1+,W1-
MgW,Mg2+,W2-
MgRe,Mg1+,Re1-
MgOs,Mg1+,Os1-
MgOs,Mg2+,Os2-
MgIr,Mg1+,Ir1-
MgPt,Mg1+,Pt1-
MgPt,Mg2+,Pt2-
MgAu,Mg1+,Au1-
MgTl,Mg1+,Tl1-
AlH,Al1+,H1-
AlC,Al1+,C1-
AlC,Al2+,C2-
AlC,Al3+,C3-
AlN,Al1+,N1-
AlN,Al2+,N2-
AlN,Al3+,N3-
AlO,Al1+,O1-
AlO,Al2+,O2-
AlF,Al1+,F1-
AlSi,Al1+,Si1-
AlSi,Al2+,Si2-
AlSi,Al3+,Si3-
AlP,Al1+,P1-
AlP,Al2+,P2-
